,Tweet,TOkens
10, #Bloomberg is buying the Dem nomination *because* many resisters won’t support him👀‼️His goal is to keep the #GOP in pow…,"['#', 'Bloomberg', 'is', 'buying', 'the', 'Dem', 'nomination', '*because*', 'many', 'resisters', 'won', '’', 't', 'support', 'him👀‼️His', 'goal', 'is', 'to', 'keep', 'the', '#', 'GOP', 'in', 'pow…']"
11,I wonder just how long it will take for some of these #grassroots organizations to become the new #superPACs if the… ,"['I', 'wonder', 'just', 'how', 'long', 'it', 'will', 'take', 'for', 'some', 'of', 'these', '#', 'grassroots', 'organizations', 'to', 'become', 'the', 'new', '#', 'superPACs', 'if', 'the…']"
12,You know who doesn’t do things based on what others do? The only candidate on stage that said the will of the peopl… ,"['You', 'know', 'who', 'doesn', '’', 't', 'do', 'things', 'based', 'on', 'what', 'others', 'do', '?', 'The', 'only', 'candidate', 'on', 'stage', 'that', 'said', 'the', 'will', 'of', 'the', 'peopl…']"
13," A President who answered to Vlad Was valuable as his comrade.In a state of delusion,His Russian collusionProved his treas…","['A', 'President', 'who', 'answered', 'to', 'Vlad', 'Was', 'valuable', 'as', 'his', 'comrade.In', 'a', 'state', 'of', 'delusion', ',', 'His', 'Russian', 'collusionProved', 'his', 'treas…']"
14," When asked what campaign issue no one is talking about,says poverty. 140 million Americans are poor and…","['When', 'asked', 'what', 'campaign', 'issue', 'no', 'one', 'is', 'talking', 'about', ',', 'says', 'poverty', '.', '140', 'million', 'Americans', 'are', 'poor', 'and…']"
15,#WakeUpAmerica #WalkAwayFromDemocrats #RememberInNovember #VoteRed #VoteBlueToSaveAmerica #DemocraticSocialism… ,"['#', 'WakeUpAmerica', '#', 'WalkAwayFromDemocrats', '#', 'RememberInNovember', '#', 'VoteRed', '#', 'VoteBlueToSaveAmerica', '#', 'DemocraticSocialism…']"
16,RT : #corruption #TrumpIsCorrupt #Facts #TruthMatters #DonaldTrump is the biggest threat America has faced since 1776. In cas…,"['RT', ':', '#', 'corruption', '#', 'TrumpIsCorrupt', '#', 'Facts', '#', 'TruthMatters', '#', 'DonaldTrump', 'is', 'the', 'biggest', 'threat', 'America', 'has', 'faced', 'since', '1776', '.', 'In', 'cas…']"
17, Heyyour hypocrisy is showing...🤡__ #MEMES #memesdaily #voting #conservatives #trump2…,"['Heyyour', 'hypocrisy', 'is', 'showing', '...', '🤡__', '#', 'MEMES', '#', 'memesdaily', '#', 'voting', '#', 'conservatives', '#', 'trump2…']"
18, #MAGA #KAGA #Trump #Election2020,"['#', 'MAGA', '#', 'KAGA', '#', 'Trump', '#', 'Election2020']"
19," Oh no he dih-int!Yes.Yes, I did.🤣__ #MEMES #memesdaily #voting #conservatives #trump2020 #kag20…","['Oh', 'no', 'he', 'dih-int', '!', 'Yes.Yes', ',', 'I', 'did.🤣__', '#', 'MEMES', '#', 'memesdaily', '#', 'voting', '#', 'conservatives', '#', 'trump2020', '#', 'kag20…']"
20, #WakeUpAmerica #WalkAwayFromDemocrats #RememberInNovember #VoteRed #VoteBlueToSaveAmerica #DemocraticSocialism #DemocraticPa…,"['#', 'WakeUpAmerica', '#', 'WalkAwayFromDemocrats', '#', 'RememberInNovember', '#', 'VoteRed', '#', 'VoteBlueToSaveAmerica', '#', 'DemocraticSocialism', '#', 'DemocraticPa…']"
21, quant à vous ...vous saborder la France et les Français depuis votre arrivée #LREM à éradiquer…,"['quant', 'à', 'vous', '...', 'vous', 'saborder', 'la', 'France', 'et', 'les', 'Français', 'depuis', 'votre', 'arrivée', '#', 'LREM', 'à', 'éradiquer…']"
22,"Again, today would be a good day to check your voter registration, check it often between now and November, and… ","['Again', ',', 'today', 'would', 'be', 'a', 'good', 'day', 'to', 'check', 'your', 'voter', 'registration', ',', 'check', 'it', 'often', 'between', 'now', 'and', 'November', ',', 'and…']"
23," A President who answered to Vlad Was valuable as his comrade.In a state of delusion,His Russian collusionProved his treas…","['A', 'President', 'who', 'answered', 'to', 'Vlad', 'Was', 'valuable', 'as', 'his', 'comrade.In', 'a', 'state', 'of', 'delusion', ',', 'His', 'Russian', 'collusionProved', 'his', 'treas…']"
24, is better than #Volvo. Buy #Lexus instead! #Auto #news is out … ,"['is', 'better', 'than', '#', 'Volvo', '.', 'Buy', '#', 'Lexus', 'instead', '!', '#', 'Auto', '#', 'news', 'is', 'out', '…']"
25,#AL04 campaign is not against&amp; hisLIFETIME score of 3%.#NHN campaign is 💯 pr…,"['#', 'AL04', 'campaign', 'is', 'not', 'against', '&', 'amp', ';', 'hisLIFETIME', 'score', 'of', '3', '%', '.', '#', 'NHN', 'campaign', 'is', '💯', 'pr…']"
26,#etownhalls #bernie2020 #election2020 #demdebate #Democracy #democrat #republican #DirectDemocracy… ,"['#', 'etownhalls', '#', 'bernie2020', '#', 'election2020', '#', 'demdebate', '#', 'Democracy', '#', 'democrat', '#', 'republican', '#', 'DirectDemocracy…']"
27,Alright all y’all you know what to do!,"['Alright', 'all', 'y', '’', 'all', 'you', 'know', 'what', 'to', 'do', '!']"
28," Oh no he dih-int!Yes.Yes, I did.🤣__ #MEMES #memesdaily #voting #conservatives #trump2020 #kag20…","['Oh', 'no', 'he', 'dih-int', '!', 'Yes.Yes', ',', 'I', 'did.🤣__', '#', 'MEMES', '#', 'memesdaily', '#', 'voting', '#', 'conservatives', '#', 'trump2020', '#', 'kag20…']"
29, Can we all just agree that Harris is the future Vice President in 2020?#ImpeachTrumpAgain #Election2020 #BlueWave,"['Can', 'we', 'all', 'just', 'agree', 'that', 'Harris', 'is', 'the', 'future', 'Vice', 'President', 'in', '2020', '?', '#', 'ImpeachTrumpAgain', '#', 'Election2020', '#', 'BlueWave']"
30, WATCH: Bannon on Fox: ‘Bloomberg Has A Personal Vendetta Against Trump’ #Election2020 ,"['WATCH', ':', 'Bannon', 'on', 'Fox', ':', '‘', 'Bloomberg', 'Has', 'A', 'Personal', 'Vendetta', 'Against', 'Trump', '’', '#', 'Election2020']"
31," #samePrioritizing male #feelings over girls' &amp; #women's needs:is not ""#PROGRESSive.""I will n…","['#', 'samePrioritizing', 'male', '#', 'feelings', 'over', 'girls', ""'"", '&', 'amp', ';', '#', 'women', ""'s"", 'needs', ':', 'is', 'not', '``', '#', 'PROGRESSive', '.', '``', 'I', 'will', 'n…']"
32,#TikTok #RussianCollusion #TrumpIsaCriminal #BarrMustResign #AbuseOfPower Every day the dark saga worsens jeopardiz… ,"['#', 'TikTok', '#', 'RussianCollusion', '#', 'TrumpIsaCriminal', '#', 'BarrMustResign', '#', 'AbuseOfPower', 'Every', 'day', 'the', 'dark', 'saga', 'worsens', 'jeopardiz…']"
33,RT : Time to declare health care a fundamental right. ,"['RT', ':', 'Time', 'to', 'declare', 'health', 'care', 'a', 'fundamental', 'right', '.']"
34,#Election2020,"['#', 'Election2020']"
35,,[]
36,RT : #corruption #TrumpIsCorrupt #Facts #TruthMatters #DonaldTrump is the biggest threat America has faced since 1776. In cas…,"['RT', ':', '#', 'corruption', '#', 'TrumpIsCorrupt', '#', 'Facts', '#', 'TruthMatters', '#', 'DonaldTrump', 'is', 'the', 'biggest', 'threat', 'America', 'has', 'faced', 'since', '1776', '.', 'In', 'cas…']"
37,"RT _:Thanks, all, for such a stirring discussion—and lots of cool data too! #DataScience #Vo…","['RT', '_', ':', 'Thanks', ',', 'all', ',', 'for', 'such', 'a', 'stirring', 'discussion—and', 'lots', 'of', 'cool', 'data', 'too', '!', '#', 'DataScience', '#', 'Vo…']"
38," The best #tweets money can buy:Those pro- tweets are likely bought and paid for:""Multimillion-dollar-a-…","['The', 'best', '#', 'tweets', 'money', 'can', 'buy', ':', 'Those', 'pro-', 'tweets', 'are', 'likely', 'bought', 'and', 'paid', 'for', ':', ""''"", 'Multimillion-dollar-a-…']"
39, #Municipales2020 #Municipales #Election2020 #Election Je vous remercie d'avance pour votre #participation et votre #parta…,"['#', 'Municipales2020', '#', 'Municipales', '#', 'Election2020', '#', 'Election', 'Je', 'vous', 'remercie', ""d'avance"", 'pour', 'votre', '#', 'participation', 'et', 'votre', '#', 'parta…']"
40, Which of the following Democrats would be a more difficult candidate for President Trump to up against? #DemDebate #Elec…,"['Which', 'of', 'the', 'following', 'Democrats', 'would', 'be', 'a', 'more', 'difficult', 'candidate', 'for', 'President', 'Trump', 'to', 'up', 'against', '?', '#', 'DemDebate', '#', 'Elec…']"
41,"RT : Vicious cycle: ➡️you doubt women candidates➡️ you don't support them➡️ you share fears about ""electability""➡️ you do…","['RT', ':', 'Vicious', 'cycle', ':', '➡️you', 'doubt', 'women', 'candidates➡️', 'you', 'do', ""n't"", 'support', 'them➡️', 'you', 'share', 'fears', 'about', '``', 'electability', ""''"", '➡️', 'you', 'do…']"
42,"DID marry her brother and said she would 'do what she had to do to get him ""papers"" …","['DID', 'marry', 'her', 'brother', 'and', 'said', 'she', 'would', ""'do"", 'what', 'she', 'had', 'to', 'do', 'to', 'get', 'him', '``', 'papers', ""''"", '…']"
43," A President who answered to Vlad Was valuable as his comrade.In a state of delusion,His Russian collusionProved his treas…","['A', 'President', 'who', 'answered', 'to', 'Vlad', 'Was', 'valuable', 'as', 'his', 'comrade.In', 'a', 'state', 'of', 'delusion', ',', 'His', 'Russian', 'collusionProved', 'his', 'treas…']"
44," Attention #YangGang! is running on the #MathMovement platform.Let's help him win. Donate if you can donate, or s…","['Attention', '#', 'YangGang', '!', 'is', 'running', 'on', 'the', '#', 'MathMovement', 'platform.Let', ""'s"", 'help', 'him', 'win', '.', 'Donate', 'if', 'you', 'can', 'donate', ',', 'or', 's…']"
45, quant à vous ...vous saborder la France et les Français depuis votre arrivée #LREM à éradiquer…,"['quant', 'à', 'vous', '...', 'vous', 'saborder', 'la', 'France', 'et', 'les', 'Français', 'depuis', 'votre', 'arrivée', '#', 'LREM', 'à', 'éradiquer…']"
46, They are so totally incompetent. That is how they run their states into the sewer,"['They', 'are', 'so', 'totally', 'incompetent', '.', 'That', 'is', 'how', 'they', 'run', 'their', 'states', 'into', 'the', 'sewer']"
47," When asked what campaign issue no one is talking about,says poverty. 140 million Americans are poor and…","['When', 'asked', 'what', 'campaign', 'issue', 'no', 'one', 'is', 'talking', 'about', ',', 'says', 'poverty', '.', '140', 'million', 'Americans', 'are', 'poor', 'and…']"
48,RT : #MAGA #Election2020 OCTOBER 2016: Astrologers Align Against Trump🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,"['RT', ':', '#', 'MAGA', '#', 'Election2020', 'OCTOBER', '2016', ':', 'Astrologers', 'Align', 'Against', 'Trump🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣']"
49,Here’s the full archived article. #Election2020 Put your critical thinking caps on. “Appearing”Isn’t evidence. We… ,"['Here', '’', 's', 'the', 'full', 'archived', 'article', '.', '#', 'Election2020', 'Put', 'your', 'critical', 'thinking', 'caps', 'on', '.', '“', 'Appearing', '”', 'Isn', '’', 't', 'evidence', '.', 'We…']"
50," Attention #YangGang! is running on the #MathMovement platform.Let's help him win. Donate if you can donate, or s…","['Attention', '#', 'YangGang', '!', 'is', 'running', 'on', 'the', '#', 'MathMovement', 'platform.Let', ""'s"", 'help', 'him', 'win', '.', 'Donate', 'if', 'you', 'can', 'donate', ',', 'or', 's…']"
51, It's $3 Thursday! I'm asking for everyone to help that is able to donate $3 to my campaign for Congress. Join us and help put p…,"['It', ""'s"", '$', '3', 'Thursday', '!', 'I', ""'m"", 'asking', 'for', 'everyone', 'to', 'help', 'that', 'is', 'able', 'to', 'donate', '$', '3', 'to', 'my', 'campaign', 'for', 'Congress', '.', 'Join', 'us', 'and', 'help', 'put', 'p…']"
52," The best #tweets money can buy:Those pro- tweets are likely bought and paid for:""Multimillion-dollar-a-…","['The', 'best', '#', 'tweets', 'money', 'can', 'buy', ':', 'Those', 'pro-', 'tweets', 'are', 'likely', 'bought', 'and', 'paid', 'for', ':', ""''"", 'Multimillion-dollar-a-…']"
53," Great news for #NativeVote20! Darren Parry , Chairman of the Northwestern Band of the Shoshone Nation, announ…","['Great', 'news', 'for', '#', 'NativeVote20', '!', 'Darren', 'Parry', ',', 'Chairman', 'of', 'the', 'Northwestern', 'Band', 'of', 'the', 'Shoshone', 'Nation', ',', 'announ…']"
54, Corporate slime! 😭😭😭#CripTheVote #Election2020,"['Corporate', 'slime', '!', '😭😭😭', '#', 'CripTheVote', '#', 'Election2020']"
55, #WakeUpAmerica #WalkAwayFromDemocrats #RememberInNovember #VoteRed #VoteBlueToSaveAmerica #DemocraticSocialism #DemocraticPa…,"['#', 'WakeUpAmerica', '#', 'WalkAwayFromDemocrats', '#', 'RememberInNovember', '#', 'VoteRed', '#', 'VoteBlueToSaveAmerica', '#', 'DemocraticSocialism', '#', 'DemocraticPa…']"
56," The best #tweets money can buy:Those pro- tweets are likely bought and paid for:""Multimillion-dollar-a-…","['The', 'best', '#', 'tweets', 'money', 'can', 'buy', ':', 'Those', 'pro-', 'tweets', 'are', 'likely', 'bought', 'and', 'paid', 'for', ':', ""''"", 'Multimillion-dollar-a-…']"
57,#WE All Must do all that WE can to #Register new #voters Talk to #Family #Friends #Neighbours… ,"['#', 'WE', 'All', 'Must', 'do', 'all', 'that', 'WE', 'can', 'to', '#', 'Register', 'new', '#', 'voters', 'Talk', 'to', '#', 'Family', '#', 'Friends', '#', 'Neighbours…']"
58,"Trump, believe or not, has been most successful, followed close behind by Clinton. See how much Congress knows! No… ","['Trump', ',', 'believe', 'or', 'not', ',', 'has', 'been', 'most', 'successful', ',', 'followed', 'close', 'behind', 'by', 'Clinton', '.', 'See', 'how', 'much', 'Congress', 'knows', '!', 'No…']"
59, Bernie. Of course I have three houses. I live in Vermont. Says the Socialist.Just saying... #Nevada #Election2020 #de…,"['Bernie', '.', 'Of', 'course', 'I', 'have', 'three', 'houses', '.', 'I', 'live', 'in', 'Vermont', '.', 'Says', 'the', 'Socialist.Just', 'saying', '...', '#', 'Nevada', '#', 'Election2020', '#', 'de…']"
60, says he can win Republicans in a contest with Trump. The polls don't. via#Dem2020 #USPoli… ,"['says', 'he', 'can', 'win', 'Republicans', 'in', 'a', 'contest', 'with', 'Trump', '.', 'The', 'polls', 'do', ""n't"", '.', 'via', '#', 'Dem2020', '#', 'USPoli…']"
61, EN CAMPAGNE. Je suis allée revoir la chambre d’Anne d’Autriche Reine de France à #StGermainEnLaye qui est restée en l’…,"['EN', 'CAMPAGNE', '.', 'Je', 'suis', 'allée', 'revoir', 'la', 'chambre', 'd', '’', 'Anne', 'd', '’', 'Autriche', 'Reine', 'de', 'France', 'à', '#', 'StGermainEnLaye', 'qui', 'est', 'restée', 'en', 'l', '’', '…']"
62, &gt;You’re an embarrassment to women everywhere supporting a man who evades accountability using the E… ,"['&', 'gt', ';', 'You', '’', 're', 'an', 'embarrassment', 'to', 'women', 'everywhere', 'supporting', 'a', 'man', 'who', 'evades', 'accountability', 'using', 'the', 'E…']"
63," #Climate the clear number-two issue—2nd only to health care—for #Democrats in upcoming primary/caucus states, says new pol…","['#', 'Climate', 'the', 'clear', 'number-two', 'issue—2nd', 'only', 'to', 'health', 'care—for', '#', 'Democrats', 'in', 'upcoming', 'primary/caucus', 'states', ',', 'says', 'new', 'pol…']"
64,Serious fact. The world has played favorites with the meaning of the word Semite. Who is and who isn't. Now that… ,"['Serious', 'fact', '.', 'The', 'world', 'has', 'played', 'favorites', 'with', 'the', 'meaning', 'of', 'the', 'word', 'Semite', '.', 'Who', 'is', 'and', 'who', 'is', ""n't"", '.', 'Now', 'that…']"
65, The best 10-minute take on #Election2020 from The's phenomenal : Sunday 1 p.m. and 8 p.m. @…,"['The', 'best', '10-minute', 'take', 'on', '#', 'Election2020', 'from', 'The', ""'s"", 'phenomenal', ':', 'Sunday', '1', 'p.m.', 'and', '8', 'p.m.', '@', '…']"
66,"#Election2020 It's not that we can blame #billionaires #millionaires for taking the opportunity to make more cash,… ","['#', 'Election2020', 'It', ""'s"", 'not', 'that', 'we', 'can', 'blame', '#', 'billionaires', '#', 'millionaires', 'for', 'taking', 'the', 'opportunity', 'to', 'make', 'more', 'cash', ',', '…']"
67,"Sally D’Amico, left, and Elizabeth Laird sign a petition to remove Gov. Steve Sisolak from office while in line for… ","['Sally', 'D', '’', 'Amico', ',', 'left', ',', 'and', 'Elizabeth', 'Laird', 'sign', 'a', 'petition', 'to', 'remove', 'Gov', '.', 'Steve', 'Sisolak', 'from', 'office', 'while', 'in', 'line', 'for…']"
68,Foreign meddling in US elections and policies is nothing new. #russianinterference #election2020… ,"['Foreign', 'meddling', 'in', 'US', 'elections', 'and', 'policies', 'is', 'nothing', 'new', '.', '#', 'russianinterference', '#', 'election2020…']"
69, We are making sashes to wear in the Elmhurst St Pats Parade on March 7!! See you there 🎉 .#LeadingBeginsWithListening…,"['We', 'are', 'making', 'sashes', 'to', 'wear', 'in', 'the', 'Elmhurst', 'St', 'Pats', 'Parade', 'on', 'March', '7', '!', '!', 'See', 'you', 'there', '🎉', '.', '#', 'LeadingBeginsWithListening…']"
70," #AOC #Election2020 #BernieSanders #Bernie2020 #Bernie #DemDebates #NevadaAll public functions, including #healthcare…","['#', 'AOC', '#', 'Election2020', '#', 'BernieSanders', '#', 'Bernie2020', '#', 'Bernie', '#', 'DemDebates', '#', 'NevadaAll', 'public', 'functions', ',', 'including', '#', 'healthcare…']"
71,"#Election2020 I don't care who unfollows, mutes or blocks me, it won't be the first account I've lost either. I'm… ","['#', 'Election2020', 'I', 'do', ""n't"", 'care', 'who', 'unfollows', ',', 'mutes', 'or', 'blocks', 'me', ',', 'it', 'wo', ""n't"", 'be', 'the', 'first', 'account', 'I', ""'ve"", 'lost', 'either', '.', ""I'm…""]"
72, Which #JasonJohnson? THIS Jason Johnson? The one Yvette Carnell eviscerated a while back? 😏 #ados #reparations #election2…,"['Which', '#', 'JasonJohnson', '?', 'THIS', 'Jason', 'Johnson', '?', 'The', 'one', 'Yvette', 'Carnell', 'eviscerated', 'a', 'while', 'back', '?', '😏', '#', 'ados', '#', 'reparations', '#', 'election2…']"
73, 🗣👁📢𝟚𝟘𝟚𝟘: 𝕋𝕙𝕖 𝕐𝕖𝕒𝕣 𝕠𝕗 𝔸𝕔𝕥𝕚𝕧𝕚𝕤𝕞#Election2020 #Vote2020 #USA #1A ,"['🗣👁📢𝟚𝟘𝟚𝟘', ':', '𝕋𝕙𝕖', '𝕐𝕖𝕒𝕣', '𝕠𝕗', '𝔸𝕔𝕥𝕚𝕧𝕚𝕤𝕞', '#', 'Election2020', '#', 'Vote2020', '#', 'USA', '#', '1A']"
74, Had a blast at thekickoff party last night! Great to see State Rep. Martina White and many others at the eve…,"['Had', 'a', 'blast', 'at', 'thekickoff', 'party', 'last', 'night', '!', 'Great', 'to', 'see', 'State', 'Rep.', 'Martina', 'White', 'and', 'many', 'others', 'at', 'the', 'eve…']"
75," Bernie attacked Planned Parenthood, voted against the Brady bill, attacks the media, attacks the democratic party, suppo…","['Bernie', 'attacked', 'Planned', 'Parenthood', ',', 'voted', 'against', 'the', 'Brady', 'bill', ',', 'attacks', 'the', 'media', ',', 'attacks', 'the', 'democratic', 'party', ',', 'suppo…']"
76, #CNN - 2/21/2020 -interviewingtalking about Russia trying to benefit #BernieSanders 1/3#HELLOS…,"['#', 'CNN', '-', '2/21/2020', '-interviewingtalking', 'about', 'Russia', 'trying', 'to', 'benefit', '#', 'BernieSanders', '1/3', '#', 'HELLOS…']"
77, #CNN - 2/21/2020 -interviewingtalking about the leak of the story that Russia is trying to help #B…,"['#', 'CNN', '-', '2/21/2020', '-interviewingtalking', 'about', 'the', 'leak', 'of', 'the', 'story', 'that', 'Russia', 'is', 'trying', 'to', 'help', '#', 'B…']"
78, #CNN - 2/21/2020 -interviewingtalking about the potential for Russian Bots emulating #BernieBros…,"['#', 'CNN', '-', '2/21/2020', '-interviewingtalking', 'about', 'the', 'potential', 'for', 'Russian', 'Bots', 'emulating', '#', 'BernieBros…']"
79," Damn, I've been had! Praising #Mike2020 daily4free! I must be #Patriot! Don't want2lose #Election2020! #Russians helping #B…","['Damn', ',', 'I', ""'ve"", 'been', 'had', '!', 'Praising', '#', 'Mike2020', 'daily4free', '!', 'I', 'must', 'be', '#', 'Patriot', '!', 'Do', ""n't"", 'want2lose', '#', 'Election2020', '!', '#', 'Russians', 'helping', '#', 'B…']"
80, #CNN - 2/21/2020 -interviewingtalking about Russia trying to benefit #BernieSanders 1/3#HELLOS…,"['#', 'CNN', '-', '2/21/2020', '-interviewingtalking', 'about', 'Russia', 'trying', 'to', 'benefit', '#', 'BernieSanders', '1/3', '#', 'HELLOS…']"
81," Bernie attacked Planned Parenthood, voted against the Brady bill, attacks the media, attacks the democratic party, suppo…","['Bernie', 'attacked', 'Planned', 'Parenthood', ',', 'voted', 'against', 'the', 'Brady', 'bill', ',', 'attacks', 'the', 'media', ',', 'attacks', 'the', 'democratic', 'party', ',', 'suppo…']"
82,Whew! It's going to be awesome - see you tonight! (12/12)#GallatinBlueWave #Election2020 #BeInformed #InvestLocally #EngageLocally #MTpol,"['Whew', '!', 'It', ""'s"", 'going', 'to', 'be', 'awesome', '-', 'see', 'you', 'tonight', '!', '(', '12/12', ')', '#', 'GallatinBlueWave', '#', 'Election2020', '#', 'BeInformed', '#', 'InvestLocally', '#', 'EngageLocally', '#', 'MTpol']"
83,On the debate stage everyone claims their is the best healthcare plan. The moderates don’t even have a concrete pla… ,"['On', 'the', 'debate', 'stage', 'everyone', 'claims', 'their', 'is', 'the', 'best', 'healthcare', 'plan', '.', 'The', 'moderates', 'don', '’', 't', 'even', 'have', 'a', 'concrete', 'pla…']"
84,Here is the best-known Medical Journal that supports Bernie’s plan that civilized countries use.2/27… ,"['Here', 'is', 'the', 'best-known', 'Medical', 'Journal', 'that', 'supports', 'Bernie', '’', 's', 'plan', 'that', 'civilized', 'countries', 'use.2/27…']"
85, I’m a purple county voter—my county is 1 of the 10 that could decide 2020. While I will #VoteBlueNoM…,"['I', '’', 'm', 'a', 'purple', 'county', 'voter—my', 'county', 'is', '1', 'of', 'the', '10', 'that', 'could', 'decide', '2020', '.', 'While', 'I', 'will', '#', 'VoteBlueNoM…']"
86,South Bend Residents Have a Message for America: Don't Elect Pete Buttigieg#Election2020 via ,"['South', 'Bend', 'Residents', 'Have', 'a', 'Message', 'for', 'America', ':', 'Do', ""n't"", 'Elect', 'Pete', 'Buttigieg', '#', 'Election2020', 'via']"
87,"#freehugs &amp; and a great show! Tune in Sunday morning at 7 am, 104.1 KSGF #radiochicks #sarahandtiffany… ","['#', 'freehugs', '&', 'amp', ';', 'and', 'a', 'great', 'show', '!', 'Tune', 'in', 'Sunday', 'morning', 'at', '7', 'am', ',', '104.1', 'KSGF', '#', 'radiochicks', '#', 'sarahandtiffany…']"
88, #RussianCollusion Time to act now. After #election2020 may be too late! …,"['#', 'RussianCollusion', 'Time', 'to', 'act', 'now', '.', 'After', '#', 'election2020', 'may', 'be', 'too', 'late', '!', '…']"
89, Ok Christians!We are not ashamed of the gospel and boldly proclaim our Lord and Savior Jesus.Let’s flip this poll.Ple…,"['Ok', 'Christians', '!', 'We', 'are', 'not', 'ashamed', 'of', 'the', 'gospel', 'and', 'boldly', 'proclaim', 'our', 'Lord', 'and', 'Savior', 'Jesus.Let', '’', 's', 'flip', 'this', 'poll.Ple…']"
90, WOW.. 😱😱🚨 👉American flag is REMOVED before debate begins. 💥This is a slap in the face to every soldier who died defending thi…,"['WOW..', '😱😱🚨', '👉American', 'flag', 'is', 'REMOVED', 'before', 'debate', 'begins', '.', '💥This', 'is', 'a', 'slap', 'in', 'the', 'face', 'to', 'every', 'soldier', 'who', 'died', 'defending', 'thi…']"
91,"The Lancet;Health Policy Volume 395, ISSUE 10223, P525-533, February 15, 2020 DOI:3/2… ","['The', 'Lancet', ';', 'Health', 'Policy', 'Volume', '395', ',', 'ISSUE', '10223', ',', 'P525-533', ',', 'February', '15', ',', '2020', 'DOI:3/2…']"
92, What I predict #Election2020 ,"['What', 'I', 'predict', '#', 'Election2020']"
93,The best science for bettering lives. Explore the latest high-quality research from The Lancet family of journals.… ,"['The', 'best', 'science', 'for', 'bettering', 'lives', '.', 'Explore', 'the', 'latest', 'high-quality', 'research', 'from', 'The', 'Lancet', 'family', 'of', 'journals.…']"
94,"It is among the world's oldest, most prestigious, and best known general medical journals. Since 1823–present.6/2… ","['It', 'is', 'among', 'the', 'world', ""'s"", 'oldest', ',', 'most', 'prestigious', ',', 'and', 'best', 'known', 'general', 'medical', 'journals', '.', 'Since', '1823–present.6/2…']"
95,"Quite the crappy flash overall USfor February.Partly due to #coronavirus disruptions, but also lin… ","['Quite', 'the', 'crappy', 'flash', 'overall', 'USfor', 'February.Partly', 'due', 'to', '#', 'coronavirus', 'disruptions', ',', 'but', 'also', 'lin…']"
96," #AOC #Election2020 #BernieSanders #Bernie2020 #Bernie #DemDebates #NevadaAll public functions, including #healthcare…","['#', 'AOC', '#', 'Election2020', '#', 'BernieSanders', '#', 'Bernie2020', '#', 'Bernie', '#', 'DemDebates', '#', 'NevadaAll', 'public', 'functions', ',', 'including', '#', 'healthcare…']"
97, Do you believe America would be better off if more Christians served in elected office?#Retweet #Poll #Election2020 #…,"['Do', 'you', 'believe', 'America', 'would', 'be', 'better', 'off', 'if', 'more', 'Christians', 'served', 'in', 'elected', 'office', '?', '#', 'Retweet', '#', 'Poll', '#', 'Election2020', '#', '…']"
